artist_name,track_id,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity,mood_cluster
Weiss (UK),7nionv2ijjqUlg9m5iWPTc,Feel My Needs,0.001,0.789,208525,0.6920000000000001,0.861,3,0.0505,-5.966,0,0.0475,121.998,4,0.774,69,6
Zoé,7ffkdwy4EvMSeUnPVSyqqw,Azul,0.0634,0.516,194227,0.703,0.607,9,0.108,-6.412999999999999,1,0.0363,97.983,4,0.491,69,6
Dimitri Vegas & Like Mike,02q7qbOYbE89NMFEtOklcc,Unity,0.0241,0.65,234462,0.912,0.8,10,0.293,-4.588,0,0.0406,129.999,4,0.191,69,6
Yüzyüzeyken Konuşuruz,11PO9iu6PtpgL1JK4QNUEJ,Dinle Beni Bi',0.562,0.557,144907,0.6829999999999999,0.897,9,0.107,-9.298,0,0.0471,91.965,4,0.5429999999999999,68,6
Timmy Trumpet,6FwvvtAuHIvdeupkTpaTRN,Mufasa,0.00845,0.359,167143,0.976,0.623,4,0.288,-2.285,1,0.0932,139.938,4,0.0752,68,6
GAMPER & DADONI,79iXIJKvBF0kI8aKZq78PB,Island in the Sun,0.289,0.805,236447,0.615,0.524,5,0.11,-8.109,0,0.123,123.95,4,0.429,68,6
Steve Aoki,0Xz3DTcdZI01mjKfNZrsC1,Mayhem,0.00016,0.604,157031,0.964,0.611,8,0.858,-4.713,1,0.033,127.929,4,0.078,68,6
Joji,48x8fBWfyeSMzLl5gbsjr9,COME THRU,0.163,0.66,153169,0.596,0.86,0,0.109,-8.207,1,0.0358,77.02600000000001,4,0.0757,68,6
Gorgon City,26xW0lqwFci1qvXlaNtQOZ,Lick Shot,0.0045899999999999,0.728,233453,0.913,0.425,11,0.0491,-6.865,0,0.0679,124.998,4,0.5529999999999999,67,6
Above & Beyond,0jT6M1tT51b1p2s8qDUUkB,Show Me Love,0.022,0.46,211655,0.878,0.508,4,0.157,-5.202999999999999,0,0.0437,128.017,4,0.4539999999999999,67,6
Ta-ku,39kdh6z0m3UNDfBqLLiXcz,Night 1,0.0127,0.835,183187,0.359,0.628,0,0.1119999999999999,-12.531,1,0.0685,152.185,4,0.389,67,6
Yellow Claw,6yMiMpRVMjSKUN4ClxU9i8,Beastmode,0.0207,0.665,192905,0.973,0.8390000000000001,1,0.0381,-2.112,0,0.26,160.018,3,0.135,67,6
Sarcastic Sounds,5utrtANUaATItHm4Twgp6Z,It's OK to Cry,0.371,0.772,102056,0.502,0.922,10,0.0917,-13.254,0,0.0291,152.031,4,0.145,67,6
Marshmello,0gsDBm94QELEJAcGS59f1b,Flashbacks,0.0052,0.58,165634,0.901,0.698,0,0.111,-0.958,1,0.0326,142.031,4,0.427,67,6
Joji,606F3qdYCXtDVtKN53YsuW,I'LL SEE YOU IN 40,0.347,0.411,253781,0.377,0.765,3,0.222,-9.553,1,0.0296,139.881,4,0.0321,67,6
Sleepy Fish,6e9PEl2mvN7I9sflyuBfv8,Fall's Echoes,0.198,0.478,158000,0.483,0.923,11,0.127,-10.505999999999998,1,0.0665,168.856,3,0.362,66,6
Wage War,0OiqmkoWLbaq2S7rvlwPSF,Low,2.15e-05,0.535,228448,0.972,0.733,1,0.0758,-4.146,1,0.0798,129.995,4,0.251,66,6
Tiësto,1hvIHTTJfxidaT0OUCtcYa,Can You Feel It,0.00497,0.625,199385,0.961,0.841,6,0.626,-3.915,0,0.205,129.94899999999998,4,0.426,66,6
Daddy's Groove,7rEOUR7AmXcgd32WG5duJh,Bvulgari,0.0187,0.733,156511,0.944,0.7509999999999999,8,0.173,-4.676,0,0.11,122.989,4,0.385,66,6
Toonorth,5TuhMyeZ7bBd3A0PzKNW4D,Silience,0.0295,0.635,196923,0.252,0.779,6,0.119,-10.455,1,0.0596,77.952,4,0.667,66,6
Leavv,42GhletESlrhyhtFkjkf6Q,Voyage,0.102,0.743,139275,0.204,0.9,5,0.1119999999999999,-11.501,0,0.0891,172.137,4,0.435,66,6
Tesk,2B2DoTt6xuP1NrR7pKZBR8,Hideout,0.0273,0.595,131443,0.2239999999999999,0.8370000000000001,9,0.0844,-9.076,0,0.0331,168.145,4,0.439,66,6
Sarcastic Sounds,0f0gfm6wHjhqrBMHBn9Ajr,I Don't Sleep,0.105,0.774,105143,0.352,0.741,6,0.348,-13.13,0,0.214,80.51,4,0.258,66,6
Samba Twins,4HHGxBEC3WOwmXLo6sQx1e,Esmeralda,0.00281,0.759,234510,0.517,0.906,11,0.0782,-12.275,0,0.0601,120.016,4,0.411,65,6
Foals,3HteidpVk31b0a3Swfw0Oe,Syrups,0.03,0.3329999999999999,328924,0.901,0.868,2,0.136,-3.5580000000000003,0,0.1,160.16899999999998,4,0.8170000000000001,65,6
FISHER,2KXwJZv1pRQFQ95Kj60jBN,Losing It - Radio Edit,0.00176,0.7290000000000001,163248,0.965,0.66,2,0.0973,-5.711,1,0.0624,125.021,4,0.7440000000000001,65,6
Flume,6exPfsexVWEsVf8MHsmASw,Dreamtime,0.609,0.296,134449,0.74,0.914,1,0.115,-6.272,1,0.0648,153.79399999999998,5,0.17,65,6
Dillon Francis,24YEb26otbWRU3BApxqGGo,Lost My Mind,0.016,0.603,261441,0.665,0.652,0,0.138,-5.372000000000001,0,0.0655,160.018,4,0.184,65,6
Juicy M,6uHfIVcZBXYpXuqOXOWB2b,Psyhaus,0.00121,0.619,208000,0.931,0.795,2,0.177,-4.397,1,0.13,150.089,4,0.159,65,6
Chris Malinchak,2C8c1RN9BDuwR7DiIXqYNY,Blue,0.013,0.767,286272,0.633,0.934,2,0.0906,-10.67,1,0.0464,113.998,4,0.131,65,6
Zoé,2YiqBesMJpszYU6raDOG0R,Hielo,0.282,0.551,302840,0.73,0.923,7,0.148,-7.69,0,0.0274,126.967,4,0.672,65,6
Monocle Twins,5IQzw8udPzrhEA5FPB0MaU,The Road to Life,0.0235,0.469,229244,0.583,0.918,0,0.121,-8.943,1,0.0268,66.00399999999999,4,0.075,65,6
Greta Van Fleet,54DIzLw4LLxB3n1XiiQftU,Age Of Man,0.0371,0.4679999999999999,366187,0.612,0.6890000000000001,6,0.104,-5.476,0,0.0307,136.925,4,0.275,65,6
George FitzGerald,01oZjrRICAL5l0sSFqpb5D,Passing Trains,0.0317,0.6579999999999999,193105,0.853,0.897,2,0.0817,-8.628,1,0.0423,122.02,4,0.0829,65,6
j-hope,2yAr91sJO2OQinZLghgnzr,Blue Side (Outro),0.0149,0.499,90540,0.3939999999999999,0.901,9,0.309,-10.202,0,0.0261,80.46600000000001,4,0.0812,65,6
Vansire,79OHuiNbjDmlz3xjYMNcaA,Nice to See You,0.42,0.539,181678,0.535,0.632,1,0.263,-9.717,1,0.0319,78.885,4,0.352,65,6
Monma,5JuVNeCjIl3DJbnVf1oeGo,Sneakers,0.365,0.855,149333,0.307,0.8540000000000001,1,0.105,-10.599,0,0.0732,89.993,4,0.174,65,6
Oliver Heldens,4gCeoAADi0gWPVbwLhhuqq,Riverside 2099,0.0664,0.8,234533,0.863,0.916,9,0.3879999999999999,-5.242000000000001,1,0.0575,125.99,4,0.7170000000000001,65,6
Interpol,7h4RBE1rGeHMoU7722HGVY,If You Really Love Nothing,6.36e-06,0.427,265640,0.906,0.81,9,0.1689999999999999,-3.488,1,0.0472,133.92600000000002,4,0.539,65,6
Bicep,3VtTuQ6lypMoOBcm6VMzdh,Opal - Four Tet Remix,0.103,0.826,494257,0.72,0.773,9,0.11,-9.582,0,0.119,127.011,4,0.287,64,6
Konteks,14kpqRxMt2iAvNvMEoGJws,City Samba,0.285,0.409,180000,0.412,0.6990000000000001,6,0.127,-12.822,1,0.0372,88.009,4,0.41,64,6
Crade,4cG1oc4zcVw3o0lgDV7cDi,Para Fiction,0.0574,0.8059999999999999,275260,0.7140000000000001,0.897,4,0.0705,-9.713,0,0.0837,120.002,4,0.528,64,6
GentleBeatz,2TVVXlOqianxo3AbYe45mn,One With the Wind,0.3929999999999999,0.6890000000000001,133399,0.469,0.877,0,0.1119999999999999,-11.43,0,0.0391,130.18200000000002,4,0.146,64,6
Marshmello,621yo2vtUSnmTfmENTKoNm,Power,0.00292,0.58,222000,0.895,0.731,1,0.079,-3.702,0,0.0367,140.023,4,0.97,64,6
Lstn,3QVvtX2g7L46TsCdxt1qRA,Times of Sorrow,0.4579999999999999,0.8190000000000001,294000,0.664,0.596,0,0.9,-10.595999999999998,0,0.0862,120.006,4,0.3329999999999999,64,6
City Girl,0DvqAXyoA7zRB8wgH0DjRO,Ji-Eun's Sunset,0.0923,0.931,168814,0.517,0.821,4,0.114,-8.476,1,0.105,118.021,4,0.171,64,6
Marshmello,1FPJZZjcwG2IGF0UVLrmKL,Tell Me,0.0065099999999999,0.5579999999999999,158400,0.919,0.789,1,0.196,-1.948,1,0.0426,150.049,4,0.8390000000000001,64,6
Mishegas,4lIfzxIDvFtWmelRLY4oud,Episodes,0.00624,0.469,186353,0.691,0.918,6,0.217,-7.947999999999999,1,0.0405,169.907,4,0.282,64,6
Zoé,5YExs1OO0ol2fIaRm7WmLN,No Hay Mal Que Dure,0.27,0.46,292120,0.747,0.875,0,0.126,-7.544,1,0.0289,161.495,4,0.535,63,6
Foals,4dWITy5mDS1zVOSDqOt8v5,Cafe D'Athens,0.0401,0.37,246867,0.8740000000000001,0.589,5,0.0731,-5.065,1,0.0577,136.03,4,0.516,63,6
Flume,0A2pSv44QouqvTdFyVpWoT,Wormhole,0.0111,0.755,142222,0.5720000000000001,0.69,11,0.0723,-4.301,0,0.235,134.759,4,0.526,63,6
Tourist,1cR7s0ghhOj56nhTjwSIRO,Someone Else,0.354,0.34,247266,0.439,0.954,1,0.2319999999999999,-12.591,1,0.0371,132.004,3,0.0509,63,6
Mötley Crüe,4x8RmbPETmcVbuc8SS1Zid,Crash and Burn,3e-05,0.521,253080,0.835,0.583,1,0.188,-5.216,1,0.0317,93.052,4,0.204,63,6
Bring Me The Horizon,1oqMPCtRiO1QQLP8NjuB9Z,fresh bruises,0.0053,0.675,198454,0.545,0.693,3,0.17,-5.275,0,0.046,117.015,4,0.272,63,6
Bougenvilla,6jU2L6TdZMdGqdCVqvhCg5,Utami,0.0202,0.652,157500,0.924,0.8059999999999999,7,0.308,-5.382999999999999,1,0.0418,128.013,4,0.307,63,6
Lane 8,5kDeYoYdLnW8ILTXdbiXjJ,Little by Little,0.00859,0.649,333223,0.7709999999999999,0.853,9,0.103,-9.714,1,0.0412,121.011,4,0.608,63,6
Disclosure,0slkzFvyBWcwnjEEDtYE5E,Ultimatum - Edit,0.303,0.838,213382,0.706,0.863,7,0.0712,-7.626,0,0.067,118.017,4,0.7759999999999999,63,6
Toonorth,0oJVnIvEJSpBTSaCXky2mF,Lost,0.13,0.6940000000000001,121338,0.335,0.898,2,0.327,-6.355,0,0.0531,142.466,1,0.6629999999999999,63,6
Alesso,5hdAQegqnitMjNacfLOHQd,Tilted Towers,0.000771,0.7020000000000001,259476,0.8420000000000001,0.828,7,0.28,-5.059,1,0.0331,124.01,4,0.175,63,6
Flux Pavilion,05m4PsNFU52bDeIJmqHDYt,Party Starter,0.0206,0.55,252231,0.8240000000000001,0.708,10,0.1119999999999999,-4.018,1,0.0503,150.049,4,0.295,63,6
Parcels,1Avnd5xLg7HmaNofmYk7RQ,Withorwithout,0.642,0.8029999999999999,205049,0.662,0.901,0,0.151,-8.073,1,0.0308,105.012,4,0.8140000000000001,63,6
Fatboy Slim,6VtKtv4e3u4hbUsS3iQTD5,"Right Here, Right Now - CamelPhat Radio Edit",0.0192,0.609,209792,0.946,0.604,7,0.561,-5.101,1,0.069,123.002,4,0.0872,62,6
Yüzyüzeyken Konuşuruz,7ouMGV7ScnMUGXKFGAGjXe,Sandal,0.513,0.604,276000,0.568,0.7859999999999999,0,0.581,-10.067,0,0.0289,92.992,4,0.288,62,6
Mandy Mars,2pb1EiFJScGRSeg566I6SG,Still Care,0.000729,0.7170000000000001,206168,0.818,0.8809999999999999,8,0.108,-8.017999999999999,1,0.0313,119.997,4,0.135,62,6
Traumen,2TFbwVamqblIV26S8upZwO,I Wish,0.027,0.713,259961,0.743,0.838,9,0.358,-10.098,0,0.0656,119.966,4,0.211,62,6
Michael Bibi,7n0cOjwadpms08yfGEeyOQ,Hanging Tree - Original Mix,0.00306,0.845,371811,0.938,0.855,9,0.0896,-5.891,0,0.0502,127.007,4,0.755,62,6
Bonobo,0E7S1k9M1KshLISVC2EP1M,Ibrik,0.257,0.738,350055,0.512,0.879,5,0.0824,-12.924,0,0.0668,123.01,4,0.0867,62,6
Flume,6bBAntbHP2JaLFpyeR3b46,Vitality,0.0862,0.642,99034,0.8690000000000001,0.913,1,0.708,-2.036,0,0.0914,96.904,4,0.188,62,6
Kan Sano,6dquDJGHcJVIrPYnm01gOf,Sit At The Piano,0.17,0.799,171466,0.498,0.821,11,0.0916,-9.142,0,0.0476,89.991,4,0.216,62,6
Swørn,3w1lXjck7zcQaacezavnJw,Protected,0.141,0.75,79710,0.426,0.912,1,0.0999,-7.132999999999999,1,0.069,82.223,4,0.382,62,6
Interpol,41s19GuE9OVOQuDubCMhhT,The Weekend,2.89e-06,0.431,184000,0.958,0.831,11,0.359,-0.911,0,0.0566,130.048,4,0.515,62,6
Wallows,5q6Ue2SuMhMBxFPDP2VWXm,Only Friend,1.51e-05,0.295,181600,0.835,0.913,4,0.342,-5.184,1,0.0413,153.914,4,0.0835,62,6
Dayglow,5Ti99QiUdIwe0xG4gS22FL,Can I Call You Tonight?,0.132,0.6409999999999999,278769,0.8420000000000001,0.91,9,0.419,-7.27,1,0.0292,129.98,4,0.5,62,6
Post Malone,1reWqUNMwp5ciYLIufmWLI,Wow. - Instrumental,0.0411,0.8490000000000001,149040,0.312,0.895,1,0.103,-10.535,1,0.0613,99.997,4,0.494,62,6
Sam Barsh,034ZKE6KJpa8yVpAPQ9AMT,Misty - Recorded at Spotify Studios NYC,0.317,0.581,98773,0.465,0.94,10,0.29,-9.416,1,0.0306,170.34900000000002,4,0.623,62,6
Kid Tarô,6PmICVfLLQNIRWK6KojnCN,Brasil Spring Vibes,0.0992,0.609,116471,0.4629999999999999,0.911,6,0.124,-6.809,0,0.0587,170.032,4,0.556,62,6
Sleepy Fish,5nKSxq2yNgQLtgzqJxPn41,i wish it would never stop snowing,0.0365,0.804,196500,0.1639999999999999,0.831,4,0.0927,-14.07,1,0.0492,126.953,4,0.419,62,6
Mötley Crüe,5y1QAwcpZ6cDSAQDYgw9dX,Like a Virgin,8.42e-06,0.477,188133,0.878,0.636,2,0.36,-5.5920000000000005,1,0.0458,133.95,4,0.628,62,6
eli filosov [ p h i l o ],2CV77OcQKuLah4ZRCbgYoH,hurt,0.225,0.486,84873,0.417,0.703,11,0.113,-11.264,0,0.201,158.45600000000002,4,0.373,62,6
Niels Van Gogh,5cNLc9PNhzbGC3DKZeWGSL,Pulverturm - Tiësto's Big Room Remix,0.0091799999999999,0.682,182000,0.945,0.7120000000000001,11,0.138,-3.244,1,0.0587,127.989,4,0.621,62,6
digitalluc,0UJiQPwXP0wQD2WEdR28ar,Float,0.11,0.713,106998,0.257,0.804,3,0.105,-12.585,0,0.0401,85.072,4,0.382,62,6
Sublab,6GygZN0o9JNs1x3adaLBBh,Rising from the Ashes,0.693,0.8140000000000001,199412,0.6940000000000001,0.74,6,0.118,-7.269,0,0.0514,136.012,4,0.478,62,6
Lane 8,4gx9edHLyQtb69ibMUyTxJ,Atlas,0.296,0.6409999999999999,350164,0.563,0.924,6,0.122,-10.532,1,0.0566,122.001,5,0.171,62,6
Cedric Gervais,2HuHEKWdKWAvsU2lNeqcep,Do It Tonight - Tom Staar Remix,0.0659,0.6,171637,0.997,0.813,4,0.428,-3.011,0,0.0758,124.997,4,0.257,62,6
leaf beach,4gEAYcaZPHpFFelzdt7pBX,Solitude,0.1989999999999999,0.8440000000000001,110305,0.521,0.937,4,0.136,-7.992999999999999,0,0.0763,87.99799999999999,4,0.118,62,6
DJ Koze,5YzBL3vkQnp3JbeDRRSbSQ,Pick Up,1.09e-05,0.7120000000000001,398151,0.601,0.802,5,0.0982,-8.968,1,0.062,124.912,4,0.513,62,6
Raven & Kreyn,4nKnyYt3VW7ZO3xpU8d394,Sing For You,0.0008439999999999,0.54,159375,0.946,0.607,5,0.255,-5.581,1,0.0365,128.00799999999998,4,0.342,62,6
B0nds,0evtSx7sSEe2sGtEJ6JGry,park closes at dusk,0.111,0.48,120059,0.531,0.8340000000000001,9,0.0957,-10.174,0,0.0743,159.805,4,0.341,62,6
S. Carey,58iT2lT6yiTwJyN8zlXrKt,More I See,0.2239999999999999,0.473,243733,0.46,0.4029999999999999,4,0.0802,-10.936,1,0.0263,141.011,4,0.428,62,6
Yüzyüzeyken Konuşuruz,2IBoAGhwtoBwp0RD2kb9Kb,Esen,0.016,0.618,181750,0.787,0.873,7,0.172,-7.428,1,0.0514,90.022,4,0.5379999999999999,61,6
Anti Up,4gnH8nfdJfN115QAzzUc3E,Hey Pablo,0.000749,0.805,249545,0.943,0.868,11,0.679,-6.502999999999999,0,0.0563,126.0,4,0.856,61,6
Slowheal,4zMdab1CnihodiQ9WKYYlC,spirals,0.218,0.212,192023,0.5379999999999999,0.936,4,0.155,-9.953,0,0.0841,61.284,3,0.0395,61,6
Dirty Mailman,0GKjWOnY6Zh8gRfIF2UYDk,Junk Yard Dog,0.00341,0.805,62414,0.246,0.8059999999999999,1,0.0971,-14.907,1,0.0733,123.96,4,0.43,61,6
Will Sparks,0sZHijdbtoVPW4hmf7O7OC,Mangalam,0.000433,0.513,204025,0.937,0.7709999999999999,1,0.0805,-6.37,0,0.0587,140.046,4,0.103,61,6
Big Thief,0DZfBeJhOPyjhqoaTkE3kZ,UFOF,0.638,0.623,188413,0.613,0.5720000000000001,10,0.143,-9.241,0,0.0309,147.168,4,0.745,61,6
Sky Ferreira,5pTpFp9wr8X7uddedE7uJS,Downhill Lullaby,0.534,0.436,332507,0.563,0.6509999999999999,2,0.185,-9.124,1,0.0307,92.022,4,0.257,61,6
Mötley Crüe,1VSq5PN1388BXVh55ZdOQg,Red Hot,0.0139999999999999,0.486,201520,0.901,0.421,7,0.0653,-6.274,1,0.0421,117.175,4,0.605,61,6
Calvo,7qf4uiDib5QRSFto3wHBS0,On The Move,0.00526,0.61,155625,0.956,0.642,10,0.0727,-3.926,0,0.0511,127.995,4,0.357,61,6
Ghost,4u39IY2QjY1utpNCCF4is0,Rats,6.11e-06,0.522,261573,0.944,0.482,2,0.135,-5.731,0,0.0936,124.029,4,0.236,61,6
FKJ,0syxBXqvW4MhO3yYGcxkuw,TUI,0.389,0.6,110446,0.427,0.894,5,0.0836,-10.311,0,0.0355,130.556,5,0.135,61,6
The Prodigy,2sifRHahNmhTR7a3BjKc9u,Timebomb Zone,0.000328,0.524,204915,0.898,0.7959999999999999,7,0.102,-6.542999999999999,1,0.0409,130.016,4,0.2289999999999999,61,6
ODESZA,6jKVU3e0gnQLj3iifJBvVN,Loyal,0.0052299999999999,0.497,207827,0.925,0.7809999999999999,2,0.222,-4.489,1,0.0745,139.961,4,0.262,61,6
Hoodboi,5zyA2mKhndIIHnfuXohwCI,True Colors,0.601,0.838,236182,0.586,0.779,10,0.3289999999999999,-9.075,0,0.111,110.009,4,0.16,61,6
DLJ,12iqqPRu2loZsYRwhYF4J4,Blue Shades,0.305,0.672,91429,0.391,0.6829999999999999,6,0.0831,-11.720999999999998,1,0.0382,84.01799999999999,4,0.726,61,6
Steve Aoki,7rSnhSbdCeyZh8WaIJTt64,Hoovela,0.00119,0.324,207121,0.979,0.835,4,0.347,-4.17,0,0.0987,103.532,1,0.2319999999999999,61,6
Ferreck Dawn,0mqDNdnkSOTKqsUIsAEfW2,In Arms,0.0376,0.947,206299,0.703,0.879,7,0.613,-7.443,0,0.182,123.014,4,0.6729999999999999,60,6
Sebastian Kamae,43u2nrHfKmxQZwkQ3LAMG6,Cerveza,0.509,0.727,179250,0.482,0.688,7,0.193,-8.282,0,0.0673,80.00399999999999,4,0.542,60,6
Jai Wolf,7nRgXWoPQDLYoinFlw0gqU,Lose My Mind (feat. Mr Gabriel),0.0086,0.606,258547,0.775,0.498,0,0.305,-6.037999999999999,0,0.04,140.013,4,0.508,60,6
Bugseed,79e0IMV7d0IgXrKQmCPspS,chapter,0.145,0.3989999999999999,98182,0.524,0.8029999999999999,1,0.146,-11.209,1,0.0754,176.675,4,0.0332,60,6
Calvin Harris,5v98VA4TXznJNrw0XRphIb,I'm Not Alone - 2019 Edit,0.00349,0.6,201314,0.982,0.48,11,0.124,-3.921,1,0.0337,127.994,4,0.212,60,6
MorMor,7Cx3kiPstZOSKAqTe3LtEi,Outside,0.0925,0.637,238020,0.613,0.425,1,0.156,-7.432,1,0.0272,127.006,4,0.598,60,6
Brock Berrigan,0z3u3kPRF6GMGJtzI3dJmz,Secret,0.0947,0.7290000000000001,103256,0.322,0.94,2,0.134,-7.443,1,0.0368,86.029,4,0.313,60,6
Saint Agnes,3Vm5T4ZUrPXXkJ5YXqfvMX,Welcome to Silvertown,0.0026899999999999,0.4379999999999999,195987,0.778,0.779,1,0.0893,-7.452000000000001,1,0.0683,95.775,4,0.457,60,6
Single Friend,6cK2p8SINJhAtZWjljXzqg,Lofi Smoke and Pass Out,0.2,0.792,233846,0.406,0.357,0,0.1159999999999999,-13.646,0,0.0848,155.976,4,0.424,60,6
Hot Since 82,4YmxakmVsl3YtvNFrB9ih3,Buggin' - Edit,0.00104,0.738,275806,0.851,0.437,0,0.43,-6.573,1,0.0391,123.998,4,0.359,60,6
Brooks,6pK3iM545Mqv3vI5Xmdnzq,Lynx,0.00138,0.63,208125,0.7929999999999999,0.938,5,0.118,-6.624,1,0.0355,128.014,4,0.337,60,6
Gorillaz,4fjzDf54eBNOlW45mNe14U,Souk Eye,0.43,0.64,274760,0.853,0.711,2,0.156,-7.996,0,0.031,124.122,4,0.8290000000000001,60,6
Gorillaz,0RC23Ua9z3HUD9ssrX2VGj,Lake Zurich,0.000108,0.618,253627,0.8859999999999999,0.8809999999999999,2,0.0821,-6.099,1,0.033,115.082,4,0.779,60,6
Hopex,2Uf0Gv7BnSSEIGJtqFqgVd,Inferno,0.00251,0.564,185379,0.87,0.754,9,0.638,-6.004,1,0.049,144.951,4,0.0345,60,6
Coldplay,0oAchaVoTWj6lXTR6f2dSU,Always In My Head - Live In Buenos Aires,0.00157,0.46,221200,0.7709999999999999,0.8270000000000001,5,0.975,-7.872000000000001,1,0.0314,97.555,3,0.147,60,6
Melvin Alex,2dQcQBEsC3tCcw8VvceD48,Autumn 98,0.0701,0.784,179200,0.362,0.726,7,0.133,-9.079,1,0.06,150.033,4,0.528,60,6
for KING & COUNTRY,7lPM8uXuIO5MDWv6L0TPaZ,"Fight On, Fighter",0.253,0.677,220556,0.486,0.688,6,0.0912,-7.947,1,0.0305,108.042,4,0.061,60,6
Bear McCreary,6ZMwwuUOx8kefl32gWOjtY,God of War,0.291,0.2019999999999999,246627,0.44,0.94,8,0.102,-10.112,1,0.0357,143.847,4,0.144,60,6
Chris Malinchak,1FXlhqcYaiw6KuUYtXdtAi,Crash,0.000455,0.6890000000000001,232982,0.456,0.882,2,0.07,-12.307,1,0.0339,126.0,4,0.238,60,6
Dimitri Vegas & Like Mike,7cVaJvsIIcgzSdH204p2CX,The House Of House,0.144,0.565,267040,0.892,0.8009999999999999,3,0.0385,-5.221,0,0.0672,139.957,4,0.0764,59,6
DJ Koze,57NwQSjq7DuWrxDNj3tpJL,"Pick Up - 12"" Extended Disco Version",1.05e-05,0.71,601479,0.629,0.852,5,0.0909,-8.538,1,0.0682,124.932,4,0.503,59,6
Lucky Luke,4VvTumh88DI240WO9ej6OV,Drüg,0.32,0.687,219264,0.496,0.7959999999999999,0,0.138,-8.383,0,0.235,124.974,4,0.0632,59,6
Art of November,5Guana9cMolXSB28I8NG7w,Stranded,0.0697,0.653,229582,0.6,0.904,2,0.0884,-11.994000000000002,1,0.0373,114.971,4,0.161,59,6
Bituke,22AC6x9rnv84nmW3HkQEPj,Watercolors,0.0229,0.56,170571,0.6779999999999999,0.589,7,0.124,-11.147,0,0.0425,140.029,4,0.142,59,6
Interpol,6XisRktP7FOVIC3T5IbAxL,Fine Mess,0.00158,0.413,194133,0.935,0.65,2,0.46,-1.7519999999999998,1,0.08,128.63299999999998,4,0.475,59,6
